Symbol,Crawl_Price,Price,Date_Start,Date_End
ANX,1,1,15/06/2004,23/08/2023
ANZ,1,1,04/01/2000,23/08/2023
AO1,1,1,30/05/2011,23/08/2023
AOA,1,1,31/03/2009,23/08/2023
AOF,1,1,20/06/2016,23/08/2023
AON,1,1,31/10/2007,21/08/2023
APA,1,1,13/06/2000,22/08/2023
APC,1,1,20/12/2011,23/08/2023
APE,1,1,05/01/2000,23/08/2023
APL,1,1,30/09/2004,15/08/2023
APM,1,1,04/01/2000,23/08/2023
APS,1,1,02/05/2022,23/08/2023
APW,1,1,16/12/2005,18/08/2023
APX,1,1,07/01/2015,23/08/2023
APZ,1,1,04/01/2000,23/08/2023
AQC,1,1,04/01/2000,23/08/2023
AQD,1,1,25/11/2003,23/08/2023
AQI,1,1,19/09/2012,23/08/2023
AQN,1,1,27/07/2021,22/08/2023
AQS,1,1,08/12/2011,23/08/2023
AQX,1,1,09/09/2004,23/08/2023
AQZ,1,1,20/12/2011,23/08/2023
AR1,1,1,04/01/2000,23/08/2023
AR3,1,1,01/07/2021,23/08/2023
AR9,1,1,21/09/2018,23/08/2023
ARA,1,1,04/01/2000,22/08/2023
ARB,1,1,10/01/2000,23/08/2023
ARC,1,1,14/04/2000,18/08/2023
ARD,1,1,03/04/2008,23/08/2023
ARE,1,1,04/01/2000,22/08/2023
ARF,1,1,13/06/2013,23/08/2023
ARG,1,1,04/01/2000,23/08/2023
ARL,1,1,09/02/2017,23/08/2023
ARN,1,1,14/08/2008,21/08/2023
ARR,1,1,17/02/2011,23/08/2023
ART,1,1,23/03/2021,23/08/2023
ARU,1,1,05/11/2003,23/08/2023
ARV,1,1,16/03/2007,23/08/2023
ARX,1,1,24/07/2020,23/08/2023
AS2,1,1,07/07/2021,23/08/2023
ASB,1,1,04/01/2000,23/08/2023
ASE,1,1,05/01/2000,23/08/2023
ASG,1,1,16/11/2016,23/08/2023
ASH,1,1,21/08/2014,23/08/2023
ASK,1,1,01/08/2023,23/08/2023
ASM,1,1,30/07/2020,23/08/2023
ASN,1,1,08/07/2010,23/08/2023
ASO,1,1,04/03/2011,23/08/2023
ASP,1,1,27/04/2000,21/08/2023
ASQ,1,1,22/10/2007,23/08/2023
